t_ms,ax_mg,ay_mg,az_mg,roll_acc_deg,pitch_acc_deg,gyro_int_roll,gyro_int_pitch
2342,-1,0,1000,-0.012,0.069,-0.000,-0.000
2348,1,1,1001,0.072,-0.098,-0.000,-0.000
2355,0,0,1000,-0.040,-0.043,-0.000,-0.000
2360,0,0,999,0.016,-0.015,-0.000,-0.000
2366,0,0,998,-0.040,0.013,-0.000,-0.000
2373,0,0,998,0.044,-0.043,-0.000,-0.000
2379,0,0,997,0.016,-0.015,-0.000,-0.000
2384,2,-1,998,-0.068,-0.127,-0.000,-0.000
2390,0,1,1000,0.100,-0.043,-0.000,-0.000
2396,0,2,998,0.128,-0.015,-0.000,-0.000
2403,0,-1,999,-0.068,-0.015,-0.000,-0.000
2408,-1,-2,999,-0.152,0.069,-0.000,-0.000
2414,0,-1,998,-0.068,-0.015,-0.000,-0.000
2420,0,1,1000,0.072,0.013,-0.000,-0.000
2427,0,2,1001,0.155,-0.015,-0.000,-0.000
2433,1,0,998,-0.012,-0.099,-0.000,-0.000
2438,-1,2,999,0.128,0.069,-0.000,-0.000
2449,0,0,998,0.044,-0.043,-0.000,-0.000
2458,0,0,999,0.044,-0.015,-0.000,-0.000
2465,0,1,1000,0.100,0.041,-0.000,-0.000
2471,0,-2,1000,-0.152,-0.043,-0.000,-0.000
2477,1,2,1001,0.155,-0.098,-0.000,-0.000
2484,0,-1,1000,-0.096,0.013,-0.000,-0.000
2490,-2,-1,1000,-0.096,0.153,-0.000,-0.000
2496,-2,0,1002,-0.040,0.125,-0.000,-0.000
2502,0,1,1001,0.100,0.041,-0.000,-0.000
2509,-1,0,998,-0.012,0.069,-0.000,-0.000
2514,0,0,999,-0.012,-0.015,-0.000,-0.000
2520,0,2,999,0.156,-0.015,-0.000,-0.000
2526,2,0,999,0.044,-0.127,-0.000,-0.000
2533,-1,-1,1000,-0.068,0.069,-0.000,-0.000
2538,-1,0,999,-0.012,0.069,-0.000,-0.000
2544,1,-1,999,-0.068,-0.099,-0.000,-0.000
2550,0,0,1000,0.016,0.041,-0.000,-0.000
2557,-1,0,999,0.044,0.069,-0.000,-0.000
2562,1,-3,999,-0.180,-0.071,-0.000,-0.000
2568,-1,1,1001,0.072,0.069,-0.000,-0.000
2574,0,1,999,0.100,0.041,-0.000,-0.000
2581,0,0,999,0.044,0.041,-0.000,-0.000
2586,0,-1,1001,-0.068,-0.015,-0.000,-0.000
2593,-1,0,1000,0.044,0.069,-0.000,-0.000
2598,0,-1,1001,-0.068,-0.015,-0.000,-0.000
2605,-1,0,1002,-0.012,0.069,-0.000,-0.000
2614,0,0,999,-0.040,-0.043,-0.000,-0.000
2620,0,0,999,-0.012,0.041,-0.000,-0.000
2626,0,0,999,0.044,-0.015,-0.000,-0.000
2633,0,0,997,-0.012,0.013,-0.000,-0.000
2639,-1,0,999,-0.040,0.097,-0.000,-0.000
2645,-1,1,1000,0.072,0.069,-0.000,-0.000
2651,1,-1,999,-0.068,-0.071,-0.000,-0.000
2658,0,0,998,-0.040,0.041,-0.000,-0.000
2668,0,0,999,0.044,-0.043,-0.000,-0.000
2673,0,-1,998,-0.068,-0.043,-0.000,-0.000
2679,0,1,999,0.072,0.013,-0.000,-0.000
2686,1,0,999,0.016,-0.071,-0.000,-0.000
2691,0,-1,1000,-0.068,-0.015,-0.000,-0.000
2697,-1,0,1001,0.044,0.097,-0.000,-0.000
2703,-3,0,1000,-0.012,0.181,-0.000,-0.000
2710,0,0,999,-0.040,0.041,-0.000,-0.000
2716,0,0,999,-0.012,0.041,-0.000,-0.000
2721,0,0,999,-0.012,-0.015,-0.000,-0.000
2727,0,0,999,-0.012,0.041,-0.000,-0.000
2734,0,0,999,-0.012,0.041,-0.000,-0.000
2740,0,1,999,0.072,-0.043,-0.000,-0.000
