t_ms,ax_g,ax_lpf_g
3184,0.001,0.001
3191,0.001,0.001
3196,0.001,0.001
3202,0.000,0.000
3209,0.000,0.000
3215,0.000,0.000
3220,-0.000,-0.000
3226,-0.000,-0.000
3232,-0.000,-0.000
3239,0.001,0.001
3244,0.000,0.000
3250,-0.001,-0.001
3256,-0.001,-0.001
3263,0.001,0.000
3269,0.001,0.001
3274,0.000,0.000
3280,0.001,0.001
3287,0.001,0.001
3292,0.000,0.000
3298,0.002,0.002
3304,-0.001,-0.001
3311,0.001,0.001
3322,-0.001,-0.001
3327,0.001,0.001
3333,0.001,0.001
3340,0.001,0.001
3345,-0.001,-0.001
3351,0.002,0.002
3357,0.002,0.002
3364,0.000,0.000
3369,-0.002,-0.002
3375,0.001,0.000
3381,0.000,0.000
3388,-0.000,-0.000
3398,-0.000,-0.000
3403,0.001,0.000
3409,0.001,0.001
3415,0.000,0.000
3422,-0.000,-0.000
3427,-0.000,-0.000
3433,0.001,0.000
3439,0.001,0.001
3446,0.002,0.002
3451,-0.001,-0.001
3457,0.000,-0.000
3463,-0.000,-0.000
3470,0.000,-0.000
3475,0.001,0.001
3481,0.001,0.001
3487,-0.001,-0.001
3494,0.001,0.000
3499,-0.000,-0.000
3505,-0.000,-0.000
3511,-0.001,-0.001
3518,0.002,0.002
3523,0.000,0.000
3529,-0.000,-0.000
3535,-0.000,-0.000
3542,0.001,0.001
3547,-0.002,-0.002
3553,0.001,0.001
3559,-0.001,-0.001
3566,0.001,0.000
3571,0.000,0.000
3577,-0.001,-0.001
3583,0.002,0.002
3596,-0.000,-0.000
3601,0.000,0.000
3607,-0.002,-0.002
3614,0.001,0.000
3619,0.000,0.000
3625,0.000,0.000
3631,0.001,0.001
3638,0.000,0.000
3643,-0.001,-0.001
3649,-0.000,-0.000
3655,0.001,0.001
3662,0.001,0.001
3667,0.000,0.000
3673,0.002,0.002
3679,0.001,0.001
3686,0.001,0.001
3691,-0.000,-0.000
3697,-0.000,-0.000
3703,0.001,0.000
3710,0.000,0.000
3715,0.001,0.001
3721,0.002,0.002
3727,0.001,0.002
3734,-0.001,-0.001
3739,0.000,-0.000
3745,-0.000,-0.000
3755,-0.000,-0.000
3761,0.000,-0.000
3768,0.001,0.000
3773,0.001,0.001
3779,-0.001,-0.001
3785,0.004,0.003
3792,0.001,0.001
3797,-0.000,-0.000
3803,0.001,0.001
3809,-0.000,-0.000
3816,0.001,0.001
3822,0.001,0.001
3829,0.001,0.001
3835,-0.000,-0.000
3840,-0.000,-0.000
3846,0.000,-0.000
3852,0.001,0.001
3859,-0.001,-0.001
3869,0.001,0.000
3875,-0.001,-0.001
3881,0.000,-0.000
3888,-0.000,-0.000
3893,0.001,0.001
3899,0.002,0.002
3905,0.002,0.002
3912,0.002,0.002
3917,-0.001,-0.001
3923,-0.000,-0.000
3929,0.001,0.001
3936,0.001,0.001
3942,-0.001,-0.001
3949,-0.001,-0.001
3955,0.000,-0.000
3960,-0.002,-0.002
3966,0.001,0.001
3972,0.001,0.001
3979,-0.002,-0.002
3984,0.001,0.001
3990,0.001,0.001
3996,-0.000,-0.000
4003,0.001,0.000
4009,-0.002,-0.002
4014,0.001,0.000
4020,0.001,0.001
4027,0.000,0.000
4032,-0.001,-0.001
4038,-0.000,-0.000
4044,-0.001,-0.001
4051,0.001,0.000
4056,0.001,0.001
4062,0.001,0.001
4069,0.000,0.000
4075,0.001,0.001
4080,0.000,0.000
4086,0.002,0.002
4092,0.001,0.001
4099,-0.001,-0.001
4107,0.001,0.001
4114,0.001,0.001
4119,0.000,0.000
4125,0.000,0.000
4131,0.001,0.000
4139,0.001,0.001
4144,-0.001,-0.001
4150,-0.001,-0.001
4157,0.000,-0.000
4162,-0.001,-0.001
4169,-0.001,-0.001
4174,0.001,0.001
4181,0.001,0.001
4186,0.001,0.001
4192,0.000,0.000
4198,-0.002,-0.002
4205,-0.000,-0.001
4210,0.001,0.001
4216,-0.001,-0.001
4222,0.001,0.000
4229,-0.003,-0.003
4235,0.001,0.001
4241,-0.000,-0.000
4248,0.000,0.000
4253,0.001,0.001
4259,0.001,0.001
4265,0.000,0.000
4272,0.001,0.000
4277,0.001,0.001
4283,0.000,0.000
4289,-0.001,-0.001
4296,0.002,0.002
4302,0.001,0.001
4309,-0.000,-0.000
4314,-0.002,-0.002
4321,0.000,-0.000
4326,0.000,0.000
4332,0.000,0.000
4338,0.001,0.000
4345,-0.002,-0.002
4350,0.002,0.002
4356,-0.001,-0.001
4362,0.000,-0.000
4369,-0.000,-0.000
4374,-0.001,-0.001
4380,0.001,0.001
4386,0.001,0.001
4393,0.000,0.000
4398,-0.000,-0.000
4408,-0.000,-0.000
4414,-0.000,-0.000
4421,0.000,-0.000
4426,0.000,0.000
4432,0.001,0.001
4438,0.000,0.000
4445,-0.002,-0.002
4451,-0.001,-0.001
4456,0.001,0.000
4510,0.001,0.001
4516,0.001,0.001
4523,0.000,0.000
4529,0.001,0.001
4534,0.001,0.001
4540,-0.001,-0.001
4547,0.002,0.002
4552,0.001,0.001
4558,0.001,0.001
4564,0.001,0.001
4571,0.000,0.000
4576,0.000,0.000
4582,0.000,0.000
4589,-0.000,-0.000
4595,0.001,0.001
