t_ms,ax_mg,ay_mg,az_mg,roll_acc_deg,pitch_acc_deg
2582,0,0,998,0.036,0.042
2588,0,-1,999,-0.104,-0.014
2595,0,0,1000,-0.02,0.042
2600,-1,0,999,0.008,0.098
2606,-2,2,1000,0.119,0.154
2612,-1,0,998,-0.02,0.098
2619,1,0,999,-0.02,-0.07
2625,-1,-1,1000,-0.076,0.098
2631,-2,-1,1001,-0.076,0.153
2638,-1,0,999,-0.02,0.098
2643,1,0,998,-0.048,-0.07
2649,0,2,998,0.12,-0.014
2655,-3,-1,999,-0.076,0.182
2662,-1,0,999,-0.048,0.07
2667,0,0,999,0.036,0.014
2673,-1,1,999,0.092,0.07
2679,-1,1,998,0.092,0.098
2686,0,0,1001,0.036,-0.014
2692,-1,2,1000,0.147,0.098
2698,1,0,1000,0.008,-0.07
2705,0,0,999,-0.048,-0.014
2710,0,0,996,-0.02,-0.014
2716,1,-1,1001,-0.104,-0.07
2722,2,-2,999,-0.16,-0.154
2729,0,0,999,0.008,-0.014
2734,0,0,998,-0.048,-0.014
2740,0,-1,999,-0.104,0.042
2746,1,0,1001,-0.048,-0.07
2753,-1,2,1000,0.119,0.098
2759,0,-1,998,-0.104,-0.042
2769,0,0,999,-0.02,0.014
2775,-1,0,999,-0.048,0.07
2782,1,-3,1000,-0.188,-0.07
2787,1,2,1001,0.119,-0.098
2793,3,1,999,0.064,-0.182
2799,1,1,999,0.064,-0.07
2806,1,0,998,-0.048,-0.07
2818,0,0,1002,0.008,-0.014
2823,1,0,1002,0.008,-0.098
2830,0,0,998,0.008,-0.014
2835,0,0,1000,0.008,0.042
2841,-1,0,1002,-0.048,0.098
2847,0,0,998,-0.048,0.042
2854,0,0,999,0.036,0.042
2860,1,0,1000,-0.048,-0.07
2865,0,2,1002,0.147,-0.014
2871,-1,0,998,0.036,0.07
2878,0,1,1000,0.064,0.014
2883,-1,0,999,0.036,0.098
2889,0,1,998,0.064,-0.042
2895,-1,0,1000,0.008,0.098
2902,-2,0,999,-0.048,0.126
2907,0,1,1000,0.091,0.014
2913,0,0,997,-0.02,0.014
2919,-1,0,1000,0.008,0.07
2926,0,0,999,0.008,-0.042
2932,-2,-1,999,-0.076,0.126
2938,2,1,998,0.064,-0.126
2944,-2,1,998,0.064,0.154
2951,-1,-1,998,-0.076,0.07
2956,1,-2,997,-0.132,-0.07
2962,0,1,1000,0.091,0.042
